--- Page 1 (index 0) Size: 612.0x792.0 ---

--- All Horizontal Lines ---
Y=663.7 X=284.8-292.8 ''
Y=666.2 X=43.3-46.5 '•'
Y=666.2 X=52.3-73.3 'What'
Y=666.2 X=75.8-93.3 'type'
Y=666.2 X=95.8-103.7 'of'
Y=666.2 X=106.2-130.1 'HVAC'
Y=666.2 X=132.6-161.4 'system'
Y=666.2 X=163.9-176.7 'will'
Y=666.2 X=179.3-191.9 'the'
Y=666.2 X=194.4-237.9 'thermostat'
Y=666.2 X=240.4-273.3 'control?'
Y=666.2 X=295.3-337.6 'Air-Source'
Y=666.2 X=340.1-359.1 'Heat'
Y=666.2 X=361.6-385.5 'Pump'
Y=666.2 X=388.0-416.7 '(ASHP)'
Y=673.7 X=52.3-60.3 ''
Y=673.7 X=213.0-221.1 ''
Y=673.7 X=351.9-359.9 ''
Y=673.7 X=404.3-412.3 ''
Y=676.2 X=62.8-93.0 'Ground'
Y=676.2 X=95.5-124.0 'Source'
Y=676.2 X=126.5-145.5 'Heat'
Y=676.2 X=148.0-171.9 'Pump'
Y=676.2 X=174.4-204.0 '(GSHP)'
Y=676.2 X=223.6-261.9 'Mini-Split'
Y=676.2 X=264.4-283.4 'Heat'
Y=676.2 X=285.9-309.8 'Pump'
Y=676.2 X=312.3-342.9 '(MSHP)'
Y=676.2 X=362.4-395.3 'Furnace'
Y=676.2 X=414.8-444.6 'Electric'
Y=676.2 X=447.1-491.5 'Resistance'
Y=683.7 X=52.3-60.3 ''
Y=683.7 X=163.5-171.5 ''
Y=683.7 X=206.2-214.2 ''
Y=686.2 X=62.8-91.8 'Central'
Y=686.2 X=94.3-105.2 'Air'
Y=686.2 X=107.7-154.5 'Conditioner'
Y=686.2 X=174.0-197.2 'Boiler'
Y=686.2 X=216.7-254.9 'Unknown'
Y=697.5 X=243.2-251.2 ''
Y=697.5 X=314.6-322.6 ''
Y=697.5 X=386.1-394.1 ''
Y=699.9 X=43.3-46.5 '•'
Y=699.9 X=52.3-73.3 'What'
Y=699.9 X=75.8-93.3 'type'
Y=699.9 X=95.8-103.7 'of'
Y=699.9 X=106.2-121.0 'unit'
Y=699.9 X=123.5-130.0 'is'
Y=699.9 X=132.5-145.2 'the'
Y=699.9 X=147.7-191.2 'thermostat'
Y=699.9 X=193.7-240.7 'controlling?'
Y=699.9 X=253.7-284.7 'Cooling'
Y=699.9 X=287.2-305.6 'Only'
Y=699.9 X=325.1-356.3 'Heating'
Y=699.9 X=358.8-377.1 'Only'
Y=699.9 X=396.6-426.5 'Combo'
Y=699.9 X=429.0-462.3 '(Cooling'
Y=699.9 X=464.8-480.0 'and'
Y=699.9 X=482.5-516.0 'Heating)'
Y=711.3 X=322.1-330.1 ''
